visit_id,record_type,change_cause,host,name,value,time_stamp
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:29.558Z
1,added-or-changed,explicit,.nytimes.com,nyt-geo,US,2020-04-28T14:10:29.559Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,4Oe53a4sDRVl1-qj0eXv6L,2020-04-28T14:10:29.623Z
1,added-or-changed,explicit,.nytimes.com,nyt-purr,cfhhcfhhh,2020-04-28T14:10:29.626Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-28T14:10:29.993Z
1,added-or-changed,explicit,.et.nytimes.com,sessionIndex,1|1588083029919|4Oe53a4sDRVl1-qj0eXv6L|1588083029919|true,2020-04-28T14:10:29.994Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:30.295Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:30.295Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:31.169Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:31.169Z
1,added-or-changed,explicit,www.nytimes.com,mnet_session_depth,1%7C1588083031291,2020-04-28T14:10:31.293Z
1,added-or-changed,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-28T14:10:31.612Z
1,deleted,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-28T14:10:31.615Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:32.184Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-28T14:10:32.185Z
1,added-or-changed,explicit,.nytimes.com,nyt-m,2B57F017ED1B4600858EA909061593E3&uuid=s.aacd1bc0-4f61-4d76-af02-9e27d48241ca&e=i.1588291200&imu=i.1&iru=i.0&iir=i.0&iga=i.0&imv=i.0&igf=i.0&n=i.2&fv=i.0&igd=i.0&ft=i.0&prt=i.0&ica=i.0&iub=i.0&rc=i.0&er=i.1588083032&vp=i.0&ird=i.0&ira=i.0&vr=l.4.0.0.0.0&pr=l.4.0.0.0.0&ier=i.0&ifv=i.0&t=i.1&v=i.0&igu=i.1&iue=i.0&s=s.core&g=i.0&cav=i.0,2020-04-28T14:10:32.838Z
1,added-or-changed,explicit,.nytimes.com,purr-cache,<K0<r<C_<G_<S0,2020-04-28T14:10:32.927Z
