visit_id,record_type,change_cause,host,name,value,time_stamp,context_id
1,added-or-changed,explicit,8343.global.siteimproveanalytics.io,siteimproveses,907459ef-bd96-4793-abc6-07c250150daa,2020-04-30T00:32:34.596Z,1
1,added-or-changed,explicit,8343.global.siteimproveanalytics.io,AWSELB,79A3199D10510369DCF60AC124D33FFF155635892213FCE10CD68EF1D878A534CA035F101A4DDA7C181E5ED7E37A6F89E0BE7ADBED07728C0E9869186FBBC055202621EB4928A28063708AB78F71F2F99AE33D5619,2020-04-30T00:32:34.597Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,LsfM_BxSneA,2020-04-30T00:33:23.717Z,1
3,added-or-changed,explicit,.youtube.com,GPS,1,2020-04-30T00:33:23.718Z,1
3,added-or-changed,explicit,.youtube.com,YSC,4colrqrlMjg,2020-04-30T00:33:23.718Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,B7p6OAHznWk,2020-04-30T00:33:23.724Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,B7p6OAHznWk,2020-04-30T00:33:23.724Z,1
3,deleted,overwrite,.youtube.com,YSC,hRHMV742C-Q,2020-04-30T00:33:23.725Z,1
3,added-or-changed,explicit,.youtube.com,YSC,hRHMV742C-Q,2020-04-30T00:33:23.725Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,cCn1rWgqSCk,2020-04-30T00:33:23.730Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,cCn1rWgqSCk,2020-04-30T00:33:23.731Z,1
3,deleted,overwrite,.youtube.com,YSC,dzojrk6UC0Y,2020-04-30T00:33:23.732Z,1
3,added-or-changed,explicit,.youtube.com,YSC,dzojrk6UC0Y,2020-04-30T00:33:23.732Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,p-f5LQu1hNY,2020-04-30T00:33:23.735Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,p-f5LQu1hNY,2020-04-30T00:33:23.736Z,1
3,deleted,overwrite,.youtube.com,YSC,s9x739_lyro,2020-04-30T00:33:23.736Z,1
3,added-or-changed,explicit,.youtube.com,YSC,s9x739_lyro,2020-04-30T00:33:23.737Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,FsH1upJn5fU,2020-04-30T00:33:23.744Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,FsH1upJn5fU,2020-04-30T00:33:23.745Z,1
3,deleted,overwrite,.youtube.com,YSC,RfR6exQr7Jg,2020-04-30T00:33:23.745Z,1
3,added-or-changed,explicit,.youtube.com,YSC,RfR6exQr7Jg,2020-04-30T00:33:23.746Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,hgSMONYTO_A,2020-04-30T00:33:23.750Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,hgSMONYTO_A,2020-04-30T00:33:23.751Z,1
3,deleted,overwrite,.youtube.com,YSC,yLh2PZHgprY,2020-04-30T00:33:23.751Z,1
3,added-or-changed,explicit,.youtube.com,YSC,yLh2PZHgprY,2020-04-30T00:33:23.751Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,Z6CQflv0y-E,2020-04-30T00:33:23.757Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,Z6CQflv0y-E,2020-04-30T00:33:23.758Z,1
3,deleted,overwrite,.youtube.com,YSC,DOaN5emeFT0,2020-04-30T00:33:23.758Z,1
3,added-or-changed,explicit,.youtube.com,YSC,DOaN5emeFT0,2020-04-30T00:33:23.761Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,viKpW-J1fNo,2020-04-30T00:33:23.766Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,viKpW-J1fNo,2020-04-30T00:33:23.767Z,1
3,deleted,overwrite,.youtube.com,YSC,AYaO8hFPEXg,2020-04-30T00:33:23.767Z,1
3,added-or-changed,explicit,.youtube.com,YSC,AYaO8hFPEXg,2020-04-30T00:33:23.767Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,wMnNXzOdHcc,2020-04-30T00:33:23.771Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,wMnNXzOdHcc,2020-04-30T00:33:23.772Z,1
3,deleted,overwrite,.youtube.com,YSC,dCBts95gxpc,2020-04-30T00:33:23.772Z,1
3,added-or-changed,explicit,.youtube.com,YSC,dCBts95gxpc,2020-04-30T00:33:23.773Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,AiguB3W_pFs,2020-04-30T00:33:23.777Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,AiguB3W_pFs,2020-04-30T00:33:23.778Z,1
3,deleted,overwrite,.youtube.com,YSC,cKXHrRJWKHo,2020-04-30T00:33:23.778Z,1
3,added-or-changed,explicit,.youtube.com,YSC,cKXHrRJWKHo,2020-04-30T00:33:23.779Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,dlNbFV_s_yc,2020-04-30T00:33:23.784Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,dlNbFV_s_yc,2020-04-30T00:33:23.784Z,1
3,deleted,overwrite,.youtube.com,YSC,JUq30k1b544,2020-04-30T00:33:23.785Z,1
3,added-or-changed,explicit,.youtube.com,YSC,JUq30k1b544,2020-04-30T00:33:23.786Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,rW7GFPCTA3Q,2020-04-30T00:33:23.792Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,rW7GFPCTA3Q,2020-04-30T00:33:23.793Z,1
3,deleted,overwrite,.youtube.com,YSC,JvsxIas3ZmU,2020-04-30T00:33:23.793Z,1
3,added-or-changed,explicit,.youtube.com,YSC,JvsxIas3ZmU,2020-04-30T00:33:23.793Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,9txgRF8S3uY,2020-04-30T00:33:23.800Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,9txgRF8S3uY,2020-04-30T00:33:23.801Z,1
3,deleted,overwrite,.youtube.com,YSC,vmVb0qBu3T0,2020-04-30T00:33:23.801Z,1
3,added-or-changed,explicit,.youtube.com,YSC,vmVb0qBu3T0,2020-04-30T00:33:23.802Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,S95f1nGequo,2020-04-30T00:33:23.812Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,S95f1nGequo,2020-04-30T00:33:23.812Z,1
3,deleted,overwrite,.youtube.com,YSC,j2SBUD-tPpQ,2020-04-30T00:33:23.813Z,1
3,added-or-changed,explicit,.youtube.com,YSC,j2SBUD-tPpQ,2020-04-30T00:33:23.814Z,1
3,deleted,overwrite,.youtube.com,VISITOR_INFO1_LIVE,bmGYudgFNHg,2020-04-30T00:33:23.836Z,1
3,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,bmGYudgFNHg,2020-04-30T00:33:23.836Z,1
3,deleted,overwrite,.youtube.com,YSC,ymxNMC76vjg,2020-04-30T00:33:23.837Z,1
3,added-or-changed,explicit,.youtube.com,YSC,ymxNMC76vjg,2020-04-30T00:33:23.837Z,1
3,added-or-changed,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-30T00:33:26.597Z,1
3,deleted,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-30T00:33:26.725Z,1
3,added-or-changed,explicit,.doubleclick.net,IDE,AHWqTUmJCxe3D_Jf_kwUPXQcD5YZ8q4AR_xxANL9UxzghXK1wduLKBBRiOscumHW,2020-04-30T00:33:26.726Z,1
