visit_id,record_type,change_cause,host,name,value,time_stamp
1,added-or-changed,explicit,8343.global.siteimproveanalytics.io,siteimproveses,742e37f5-7f07-42c1-af4d-b9e2559b521c,2020-04-23T03:35:20.917Z
1,added-or-changed,explicit,8343.global.siteimproveanalytics.io,AWSELB,79A3199D10510369DCF60AC124D33FFF15563589227427DFAF0FF5752405531A0B0E934FBD1F6DF63C23D908B9DF8504198078834F0C143FF73F716D574C9DCA3600FDE15996BA362D8F29D671DE0D65EF01927733,2020-04-23T03:35:20.918Z
1,added-or-changed,explicit,vcue.berkeley.edu,has_js,1,2020-04-23T03:36:07.146Z
1,added-or-changed,explicit,.events.berkeley.edu,sid,EdM7IxQWbbAkEk0Fp4FknmdmJAeIMbkbE7iX594fkEPyyZEncTYPGBCZMqriRcKg,2020-04-23T03:36:54.792Z
1,added-or-changed,explicit,.youtube.com,VISITOR_INFO1_LIVE,X6mlaAVQcLQ,2020-04-23T03:36:55.221Z
1,added-or-changed,explicit,.youtube.com,GPS,1,2020-04-23T03:36:55.222Z
1,added-or-changed,explicit,.youtube.com,YSC,oHDECODTSRk,2020-04-23T03:36:55.222Z
1,added-or-changed,explicit,.events.berkeley.edu,__utma,20808044.33904625.1587612920.1587613015.1587613015.1,2020-04-23T03:36:55.351Z
1,added-or-changed,explicit,.events.berkeley.edu,__utmb,20808044.0.10.1587613015,2020-04-23T03:36:55.360Z
1,added-or-changed,explicit,.events.berkeley.edu,__utmc,20808044,2020-04-23T03:36:55.361Z
1,added-or-changed,explicit,.events.berkeley.edu,__utmz,20808044.1587613015.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T03:36:55.362Z
1,deleted,overwrite,.events.berkeley.edu,__utmb,20808044.1.10.1587613015,2020-04-23T03:36:55.366Z
1,added-or-changed,explicit,.events.berkeley.edu,__utmb,20808044.1.10.1587613015,2020-04-23T03:36:55.366Z
1,added-or-changed,explicit,.linkedin.com,bcookie,"""v=2&e89e8e46-6655-43df-8ae0-c39a50d4ce40""",2020-04-23T03:36:55.494Z
1,added-or-changed,explicit,.www.linkedin.com,bscookie,"""v=1&202004230336553731923a-be28-430e-88f3-2240958cabffAQGqR46nwA0PXD231Pow1DPuYKYSoiXs""",2020-04-23T03:36:55.494Z
1,added-or-changed,explicit,.linkedin.com,lissc,1,2020-04-23T03:36:55.495Z
1,added-or-changed,explicit,.linkedin.com,lidc,"""b=VGST08:g=1681:u=1:i=1587613015:t=1587699415:s=AQHFenXsA0JuyPJkbu50IftNIqyuIRMI""",2020-04-23T03:36:55.495Z
1,added-or-changed,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-23T03:36:56.156Z
1,deleted,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-23T03:36:56.243Z
1,added-or-changed,explicit,.doubleclick.net,IDE,AHWqTUlAeJggUep71pjNlpQiQjiSii4D3REzq7yzo2j8UjTf9p7D5nuZg9csp_F-,2020-04-23T03:36:56.243Z
