visit_id,record_type,change_cause,host,name,value,time_stamp
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:03.117Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:03.118Z
1,added-or-changed,explicit,.nytimes.com,nyt-purr,cfhhcfh,2020-04-23T01:40:03.118Z
1,added-or-changed,explicit,.nytimes.com,nyt-geo,US,2020-04-23T01:40:03.119Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:03.669Z
1,added-or-changed,explicit,.et.nytimes.com,sessionIndex,1|1587606003447|wb94G3hGddL8COpQIeiBqE|1587606003447|true,2020-04-23T01:40:03.670Z
1,added-or-changed,explicit,www.nytimes.com,mnet_session_depth,1%7C1587606004584,2020-04-23T01:40:04.587Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:04.591Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:04.591Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:05.096Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:05.100Z
1,added-or-changed,explicit,.nytimes.com,nyt-m,1BE1B8CEE5BB84315CE2BFD4EB553744&ira=i.0&imv=i.0&n=i.2&vr=l.4.0.0.0.0&imu=i.1&uuid=s.435bba6d-887d-48ca-a988-2e2c8f55ee9c&t=i.1&e=i.1588291200&iub=i.0&iga=i.0&er=i.1587606005&ft=i.0&igu=i.1&ier=i.0&ird=i.0&iir=i.0&s=s.core&g=i.0&fv=i.0&prt=i.0&igd=i.0&v=i.0&pr=l.4.0.0.0.0&ifv=i.0&rc=i.0&cav=i.0&iue=i.0&igf=i.0&iru=i.0&ica=i.0&vp=i.0,2020-04-23T01:40:05.820Z
1,added-or-changed,explicit,.nytimes.com,purr-cache,<K0<r<C_<G_<S0,2020-04-23T01:40:05.970Z
1,added-or-changed,explicit,.a.nytimes.com,jkidd-s,referrer=&landing=&start=1587606005929&isNew=1&pageIndex=1,2020-04-23T01:40:06.004Z
1,added-or-changed,explicit,.a.nytimes.com,jkidd-p,prevPage=&currPage=,2020-04-23T01:40:06.004Z
1,added-or-changed,explicit,.nytimes.com,nyt-jkidd,uid=0&lastRequest=1587606005929&activeDays=%5B0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C1%5D&adv=1&a7dv=1&a14dv=1&a21dv=1&lastKnownType=anon,2020-04-23T01:40:06.004Z
1,added-or-changed,explicit,.nytimes.com,b2b_cig_opt,%7B%22isCorpUser%22:false%7D,2020-04-23T01:40:06.005Z
1,added-or-changed,explicit,.nytimes.com,edu_cig_opt,%7B%22isEduUser%22:false%7D,2020-04-23T01:40:06.006Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:06.336Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:06.336Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:06.336Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:06.337Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606006374%252C%2522lastUpdate%2522%253A1587606006367%257D,2020-04-23T01:40:06.396Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:06.397Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:06.397Z
1,added-or-changed,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-23T01:40:06.655Z
1,deleted,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-23T01:40:06.655Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606006646%252C%2522lastUpdate%2522%253A1587606006646%257D,2020-04-23T01:40:06.659Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606006646%252C%2522lastUpdate%2522%253A1587606006646%257D,2020-04-23T01:40:06.659Z
1,added-or-changed,explicit,static01.nyt.com,nyt-check3pc,true,2020-04-23T01:40:07.004Z
1,added-or-changed,explicit,.nytimes.com,cto_tld_test,test,2020-04-23T01:40:07.070Z
1,deleted,explicit,.nytimes.com,cto_tld_test,test,2020-04-23T01:40:07.074Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007140%252C%2522lastUpdate%2522%253A1587606007140%257D,2020-04-23T01:40:07.153Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007140%252C%2522lastUpdate%2522%253A1587606007140%257D,2020-04-23T01:40:07.155Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.155Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.155Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.215Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.216Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:07.216Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:07.216Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007253%252C%2522lastUpdate%2522%253A1587606007253%257D,2020-04-23T01:40:07.269Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007253%252C%2522lastUpdate%2522%253A1587606007253%257D,2020-04-23T01:40:07.270Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.270Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.271Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.311Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.311Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007566%252C%2522lastUpdate%2522%253A1587606007566%257D,2020-04-23T01:40:07.584Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007566%252C%2522lastUpdate%2522%253A1587606007566%257D,2020-04-23T01:40:07.585Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.585Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.585Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007577%252C%2522lastUpdate%2522%253A1587606007577%257D,2020-04-23T01:40:07.590Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606007577%252C%2522lastUpdate%2522%253A1587606007577%257D,2020-04-23T01:40:07.591Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.640Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:07.640Z
1,added-or-changed,explicit,.nytimes.com,_gcl_au,1.1.1119783170.1587606008,2020-04-23T01:40:08.066Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606008057%252C%2522lastUpdate%2522%253A1587606008057%257D,2020-04-23T01:40:08.083Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606008057%252C%2522lastUpdate%2522%253A1587606008057%257D,2020-04-23T01:40:08.083Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.083Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.084Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.350Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.350Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:08.350Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:08.350Z
1,added-or-changed,explicit,.nytimes.com,walley,GA1.2.1416284030.1587606008,2020-04-23T01:40:08.380Z
1,added-or-changed,explicit,.nytimes.com,walley_gid,GA1.2.1833667226.1587606008,2020-04-23T01:40:08.382Z
1,added-or-changed,explicit,.nytimes.com,_gat_UA-58630905-2,1,2020-04-23T01:40:08.384Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606008479%252C%2522lastUpdate%2522%253A1587606008479%257D,2020-04-23T01:40:08.575Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606008479%252C%2522lastUpdate%2522%253A1587606008479%257D,2020-04-23T01:40:08.575Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.575Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.579Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.612Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:08.612Z
1,added-or-changed,explicit,www.nytimes.com,_cb_ls,1,2020-04-23T01:40:08.647Z
1,added-or-changed,explicit,www.nytimes.com,_cb,DFUA0qC85QVtCt5bWQ,2020-04-23T01:40:08.650Z
1,added-or-changed,explicit,www.nytimes.com,_chartbeat2,.1587606008608.1587606008608.1.03cEgynxr2BYv1swCJcTUUBNKs2k.1,2020-04-23T01:40:08.650Z
1,added-or-changed,explicit,www.nytimes.com,_cb_svref,null,2020-04-23T01:40:08.651Z
1,added-or-changed,explicit,.nytimes.com,cto_bundle,_scr6V9vMDJwMzZ5VlNnWmtnTzJGZXF5NDFaWGhUYXYlMkZHMjZuYXRFa3YyN21BRWU4RkNsdHJucEM1TEklMkJZeWJtQVBtd2t2UzJVZzVZcGQxVklQSzhYRW1aYm5UJTJCRExlYVliY0JwOGZsNklHZ1pjVGZuTlJTaml1dHozNnJMZkU2NjZWQQ,2020-04-23T01:40:08.904Z
1,added-or-changed,explicit,www.nytimes.com,GoogleAdServingTest,Good,2020-04-23T01:40:08.958Z
1,deleted,explicit,www.nytimes.com,GoogleAdServingTest,Good,2020-04-23T01:40:08.961Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606009235%252C%2522lastUpdate%2522%253A1587606009234%257D,2020-04-23T01:40:09.252Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606009235%252C%2522lastUpdate%2522%253A1587606009234%257D,2020-04-23T01:40:09.252Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.252Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.253Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.350Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.351Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:09.352Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:09.353Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606009391%252C%2522lastUpdate%2522%253A1587606009391%257D,2020-04-23T01:40:09.416Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606009391%252C%2522lastUpdate%2522%253A1587606009391%257D,2020-04-23T01:40:09.416Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.416Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.417Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.481Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:09.482Z
1,added-or-changed,explicit,.nytimes.com,iter_id,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJhaWQiOiI1ZWEwZjFmOWJlNGQwYzAwMDFiYTM3MzciLCJjb21wYW55X2lkIjoiNWMwOThiM2QxNjU0YzEwMDAxMmM2OGY5IiwiaWF0IjoxNTg3NjA2MDA5fQ.EgC75XzYxnFoX-5LsI__QQviEIrhfK9hR8o8_EGj7Us,2020-04-23T01:40:11.751Z
1,added-or-changed,explicit,.nytimes.com,__gads,ID=025ed650cc944343:T=1587606009:S=ALNI_MauHcXX4vz8ELQav3DOR5REkLtCrQ,2020-04-23T01:40:11.769Z
1,deleted,overwrite,.nytimes.com,__gads,ID=c87d6359d38d3cef:T=1587606009:S=ALNI_MZttbUdP5XABONDS24SfYuOIqtPAQ,2020-04-23T01:40:11.901Z
1,added-or-changed,explicit,.nytimes.com,__gads,ID=c87d6359d38d3cef:T=1587606009:S=ALNI_MZttbUdP5XABONDS24SfYuOIqtPAQ,2020-04-23T01:40:11.901Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:12.424Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:12.425Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:12.426Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:12.426Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:13.440Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:13.441Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:14.184Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:14.185Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:16.183Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:16.184Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:16.186Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:16.187Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:21.184Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:21.184Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:21.184Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:21.185Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:26.187Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:26.188Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:26.188Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:26.189Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:31.198Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:31.198Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:31.198Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:31.198Z
1,added-or-changed,explicit,www.nytimes.com,_chartbeat5,"1181,103,nytimes.com%2F,https%3A%2F%2Fwww.nytimes.com%2Fvideo,_XolQDKqjB0D9TM-lDYf62BwPbp_,,c,Dctc9hDl26kzBJEx2hBczmOfiwdkI,nytimes.com,",2020-04-23T01:40:31.472Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:31.556Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:31.557Z
1,deleted,overwrite,.nytimes.com,nyt-purr,cfhhcfh,2020-04-23T01:40:31.558Z
1,added-or-changed,explicit,.nytimes.com,nyt-purr,cfhhcfh,2020-04-23T01:40:31.558Z
1,added-or-changed,explicit,www.nytimes.com,_chartbeat4,t=Dt_P9k5wJKwlCkEIMNJhVCY_xRC&E=5&x=0&c=0.38&y=2931&w=694,2020-04-23T01:40:31.568Z
1,deleted,overwrite,www.nytimes.com,mnet_session_depth,2%7C1587606004584,2020-04-23T01:40:32.792Z
1,added-or-changed,explicit,www.nytimes.com,mnet_session_depth,2%7C1587606004584,2020-04-23T01:40:32.792Z
1,deleted,overwrite,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:33.462Z
1,added-or-changed,explicit,.nytimes.com,nyt-gdpr,0,2020-04-23T01:40:33.463Z
1,deleted,overwrite,.nytimes.com,purr-cache,<K0<r<C_<G_<S0,2020-04-23T01:40:33.536Z
1,added-or-changed,explicit,.nytimes.com,purr-cache,<K0<r<C_<G_<S0,2020-04-23T01:40:33.536Z
1,deleted,overwrite,.a.nytimes.com,jkidd-s,referrer=&landing=&start=1587606005929&isNew=0&pageIndex=2,2020-04-23T01:40:33.589Z
1,added-or-changed,explicit,.a.nytimes.com,jkidd-s,referrer=&landing=&start=1587606005929&isNew=0&pageIndex=2,2020-04-23T01:40:33.590Z
1,deleted,overwrite,.a.nytimes.com,jkidd-p,prevPage=&currPage=,2020-04-23T01:40:33.591Z
1,added-or-changed,explicit,.a.nytimes.com,jkidd-p,prevPage=&currPage=,2020-04-23T01:40:33.591Z
1,deleted,overwrite,.nytimes.com,nyt-jkidd,uid=0&lastRequest=1587606033534&activeDays=%5B0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C1%5D&adv=1&a7dv=1&a14dv=1&a21dv=1&lastKnownType=anon,2020-04-23T01:40:33.591Z
1,added-or-changed,explicit,.nytimes.com,nyt-jkidd,uid=0&lastRequest=1587606033534&activeDays=%5B0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C1%5D&adv=1&a7dv=1&a14dv=1&a21dv=1&lastKnownType=anon,2020-04-23T01:40:33.592Z
1,added-or-changed,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-23T01:40:33.649Z
1,deleted,explicit,.nytimes.com,cto_write_test,testWrite,2020-04-23T01:40:33.651Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:33.827Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:33.828Z
1,deleted,overwrite,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:33.829Z
1,added-or-changed,explicit,.et.nytimes.com,sessionActive,true,2020-04-23T01:40:33.829Z
1,deleted,overwrite,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606033789%252C%2522lastUpdate%2522%253A1587606033789%257D,2020-04-23T01:40:33.829Z
1,added-or-changed,explicit,.et.nytimes.com,et-a1,%257B%2522agentId%2522%253A%2522wb94G3hGddL8COpQIeiBqE%2522%252C%2522agentStarted%2522%253A1587606006367%252C%2522sessionIndex%2522%253A1%252C%2522sessionStarted%2522%253A1587606006367%252C%2522lastModified%2522%253A1587606033789%252C%2522lastUpdate%2522%253A1587606033789%257D,2020-04-23T01:40:33.830Z
1,deleted,overwrite,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:33.830Z
1,added-or-changed,explicit,.nytimes.com,nyt-a,wb94G3hGddL8COpQIeiBqE,2020-04-23T01:40:33.830Z
