visit_id,host,name,value,time_stamp,type
3,.berkeley.edu,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.706Z,set
3,.berkeley.edu,__utmb,41573937.0.10.1587606280,2020-04-23T01:44:39.710Z,set
3,.berkeley.edu,__utmc,41573937,2020-04-23T01:44:39.712Z,set
3,.berkeley.edu,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.713Z,set
3,.berkeley.edu,__utmt,1,2020-04-23T01:44:39.718Z,set
3,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.727Z,set
3,.berkeley.edu,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.727Z,set
3,.www.berkeley.edu,nmstat,1587606291823,2020-04-23T01:44:39.755Z,set
3,www.berkeley.edu,GATEWAY_EE_last_visit,1272246279,2020-04-23T01:44:40.471Z,set
3,www.berkeley.edu,GATEWAY_EE_last_activity,1587606279,2020-04-23T01:44:40.471Z,set
3,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A32%3A%22blog%2Findex%2Flv_blog_block_GATEWAY%22%3B%7D,2020-04-23T01:44:40.471Z,set
3,www.berkeley.edu,GATEWAY_EE_csrf_token,e687102b5613dc8ebfdce554c7ca2dc1363626bc,2020-04-23T01:44:40.472Z,set
3,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A40%3A%22twitter%2Findex%2Flv_twitter_feed_UCBerkeley%22%3B%7D,2020-04-23T01:44:41.006Z,set
3,www.berkeley.edu,GATEWAY_EE_tracker,a%3A1%3A%7Bi%3A0%3Bs%3A40%3A%22twitter%2Findex%2Flv_twitter_feed_UCBerkeley%22%3B%7D,2020-04-23T01:44:41.006Z,set
3,www.berkeley.edu,GATEWAY_EE_csrf_token,e687102b5613dc8ebfdce554c7ca2dc1363626bc,2020-04-23T01:44:41.007Z,set
3,www.berkeley.edu,GATEWAY_EE_csrf_token,c9dcb21e830e235a416d89ace12a89b836194408,2020-04-23T01:44:41.007Z,set
3,matrix.berkeley.edu,has_js,1,2020-04-23T01:45:04.162Z,set
3,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-1,2020-04-23T01:45:04.164Z,set
3,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-2,2020-04-23T01:45:04.526Z,set
3,.berkeley.edu,__unam,94a0df2-171a4b5b508-2ff782ff-2,2020-04-23T01:45:04.526Z,set
3,.berkeley.edu,_ga,GA1.2.1106402829.1587606280,2020-04-23T01:45:04.557Z,set
3,.berkeley.edu,_gid,GA1.2.2027022947.1587606305,2020-04-23T01:45:04.558Z,set
3,.berkeley.edu,_gat,1,2020-04-23T01:45:04.563Z,set
