Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
GERMANY,Data Protection Authority of Hamburg,10/1/20,Yes,35258708,H&M Hennes & Mauritz Online Shop A.B. & Co. KG,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The fashion company with seat in Hamburg operates a service center in Nuremberg. Here, according to the findings of the Hamburg data protection officer, since at least 2014 private life circumstances of some of the employees have been comprehensively recorded and this information stored on a network drive. For example, the company conducted a 'Welcome Back Talk' after employees returned to work after vacation or illness. The information that became known in this context - including information on the symptoms of illness and diagnoses of the employees - was recorded and stored. In addition, according to the Hamburg data protection authority, some supervisors also used the 'Flurfunk' [meaning to hear something through the grapevine] to acquire a broad knowledge of individual employees, for example about family problems and religious beliefs. The information stored on the network drive was accessible to up to 50 managers of the company and was used, among other things, to evaluate the work performance of the employees and to make employment decisions.The data collection became known due to a technical configuration error in October 2019, according to which the data stored on the network drive was accessible company-wide for several hours. After the violation became known, the management apologized to the employees and offered monetary compensation. In addition, also further protective measures were introduced together with the data protection authority. [Note: Concrete legal basis of the fine not yet published - we assume this will mainly be Art. 5 and 6 GDPR]",https://datenschutz-hamburg.de/pressemitteilungen/2020/10/2020-10-01-h-m-verfahren
ITALY,Italian Data Protection Authority (Garante),9/30/20,Yes,60000,Scanshare s.r.l.,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"According to the data protection authority, personal information about participants in a public competition had been unlawfully disclosed online. The reason for this was that, due to a configuration error, a list of the codes assigned to the candidates was temporarily accessible on the platform, which allowed access to the documents submitted by the candidates with their personal data. This was a violation of the principle of protection of information security for which Scanshare - which was the processor of the data on behalf of the controller 'Azienda Ospedaliera di Rilievo Nazionale 'Antonio Cardarelli'' (a private hospital) - had been fined with EUR 60.000. [Also see the main fine on the hospital!]",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9461321
ITALY,Italian Data Protection Authority (Garante),9/30/20,Yes,80000,Azienda Ospedaliera di Rilievo Nazionale 'Antonio Cardarelli' (Private Hospital),"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 28 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"According to the data protection authority, personal information about participants in a public competition had been unlawfully disclosed online. The reason for this was that, due to a configuration error, a list of the codes assigned to the candidates was temporarily accessible on the platform, which allowed access to the documents submitted by the candidates with their personal data. This was a violation of the principle of protection of information security. In addition, the data protection authority found that the information obligations were also not complied with and that the hospital had also not provided a sufficient data processing agreement with the data processor [which was also fined, see fine for 'Scanshare'] in accordance with Art. 28 GDPR.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9461168
SPAIN,Spanish Data Protection Authority (aepd),9/25/20,Yes,60000,Xfera Moviles S.A.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Failure to remove the data subject's personal data at the time of cancellation of his/her telephone services contract and sending a warning to the data subject after cancellation resulting in the processing of his/her personal data without sufficient legal basis.,https://www.aepd.es/es/documento/ps-00024-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/22/20,Yes,60000,"GLP Instalaciones 86, SL","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"In order to obtain assistance for the installation of an air conditioning system, the data subject had contacted Naturgy Energy Group S.A. Subsequently, he was contacted by two different companies, one of which was GLP Instalaciones 86, who pretended to be Naturgy employees. Naturgy denied this and claimed that the companies were neither authorized installers nor employees of Naturgy resulting in the processing of personal data of the data subject, including his/her name, surname, telephone number, bank details and e-mail, without a valid legal basis.",https://www.aepd.es/es/documento/ps-00079-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/17/20,Yes,60000,"Vodafone España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,A former customer had received e-mails containing electronic bills even after he had terminated his contract with the company resulting in a processing of personal data without sufficient legal basis.,https://www.aepd.es/es/documento/ps-00186-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/17/20,Yes,3000,Grupo Carolizan,Art. 5 GDPR,Non-compliance with general data processing principles,"Operation of CCTV camera systems in an arcade area in front of a building, i.e. also covering public space. This violated the principles of data minimization, as the surveillance cameras could have been operated in a way that would not have affected the public space.",https://www.aepd.es/es/documento/ps-00311-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/16/20,Yes,10000,Property owners community,Art. 5 GDPR,Non-compliance with general data processing principles,Publication of a document containing personal data (information about identity of the data subject as well as about debts) on a community notice billboard.,https://www.aepd.es/es/documento/ps-00034-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/11/20,Yes,1500,Political Party,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Sending of an e-mail to a former party member who had since resigned, with the request to act as an election representative without sufficient legal basis to process the personal data required for this purpose",https://www.aepd.es/es/documento/ps-00051-2020.pdf
GREECE,Hellenic Data Protection Authority (HDPA),9/11/20,Yes,8000,Private Person,Art. 5 GDPR,Non-compliance with general data processing principles,Operation of a CCTV camera that also monitored public space outside the premises of the data controller.,"http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=44,255,240,178,22,240,143,187"
POLAND,Polish National Personal Data Protection Office (UODO),9/8/20,Yes,11200,Warsaw University of Life Sciences,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,Theft of a private notebook belonging to a university employee who also used this device for business purposes and on which personal data of candidates for study at SGGW was contained for recruitment activities.,https://www.uodo.gov.pl/decyzje/ZSOŚS.421.25.2019
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),9/8/20,Yes,2000,Sanatatea Press Group S.R.L.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,Sending the personal data collected for the registration for an online course to other participants due to a technical failure.,https://www.dataprotection.ro/?page=Comunicat_Presa_08_/_09_/_20&lang=ro
ITALY,Italian Data Protection Authority (Garante),9/7/20,Yes,2000,Istituto Comprensivo Statale Crucoli Torretta,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"Publication of personal data of students on the website of the Institute with, inter alia, notes about health and progress in school due to technical failure.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9451734
BELGIUM,Belgian Data Protection Authority (APD),9/7/20,Yes,5000,Former mayor of a community,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Sending election advertising to citizens without sufficient legal basis.,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-53-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/7/20,Yes,3000,Barcelona Airport Security Guard Association ('AVSAB'),Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"A member of the AVSAB security committee used WhatsApp to send messages to private phone numbers containing personal information about employees. This was a violation of the confidentiality principle that, according to the AEPD, must be respected not only by the data controller, but also by any other subject involved in any phase of the processing.",https://www.aepd.es/es/documento/ps-00188-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),9/1/20,Yes,75000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"According to the supervisory authority, the company processed personal data without sufficient legal basis, with the result that the data subject received several hundred unsolicited calls and SMS messages.",https://www.aepd.es/es/documento/ps-00198-2020.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),9/1/20,Yes,500,Apartment building owners association,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,"Export of a still image from a video surveillance system and posting of the image on the billboard of the building without sufficient legal basis. In addition, violation of the information obligations under Art. 12, 13 GDPR and violation of Art. 25 and 32 GDPR, because no sufficient information about the CCTV was given and because no sufficient technical and organizational security measures were taken to protect the personal data collected by the video surveillance system.",https://www.dataprotection.ro/?page=Comunicat_Presa_01_09_2020&lang=ro
POLAND,Polish National Personal Data Protection Office (UODO),8/31/20,Yes,22700,Surveyor General of Poland ('GKK'),"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Processing of personal data on the GEOPORTAL2 platform in the form of land and mortgage registers (including names, surnames and other personal data) without sufficient legal basis.",https://uodo.gov.pl/decyzje/DKN.5112.13.2020
SPAIN,Spanish Data Protection Authority (aepd),8/28/20,Yes,50000,Bankia S.A.,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,"The bank kept personal data of a data subject for several years, even after the data subject was no longer a customer. The data was also accessible to bank employees during this time. This constituted a violation of the principle of purpose limitation.",https://www.aepd.es/es/documento/ps-00076-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),8/28/20,Yes,5000,Basketball Federation of Castilla and Leon,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Basketball Association transmitted personal data to third parties, which were subsequently published on the Internet without consent of the data subjects. In addition, the data protection authority found that the Basketball Federation also disclosed personal data to a newspaper, violating - in addition - the principle of integrity and confidentiality (Art. 5 (1) f) GDPR).",https://www.aepd.es/es/documento/ps-00200-2020.pdf
ESTONIA,Estonian Data Protection Authority (aepd),8/17/20,Yes,48,Police Officer,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Acess to personal data in a police database for private research activities.,https://www.aki.ee/et/uudised/uudishimuparing-toi-vaarteotrahvi
SPAIN,Spanish Data Protection Authority (aepd),8/17/20,Yes,5000,Party of the Socialists of Catalonia,Art. 5 (1) b) GDPR,Non-compliance with general data processing principles,The Socialist Party of Catalonia has used the personal data provided by a professional doctor to send a letter to the complainant's relative asking for political support. This constitutes a different purpose from the original purpose of the collection and therefore violates the principle of purpose limitation.,https://www.aepd.es/es/documento/ps-00449-2019.pdf
ITALY,Italian Data Protection Authority (Garante),8/10/20,Yes,10000,Community of Baronissi,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The community published on its website personal data of data subjects including names, birth dates, place of birth, place of residence, etc.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9446659
