namevalue,context_id,time_stamp,byhost
"('131', '20200501')",1,8,"{'match.deepintent', '.deepintent'}"
"('131', '20200501')",2,1,{'.deepintent'}
"('A3', 'd=AQABBBoqrF4CEPdY3jmf7y0lqIos6X6BvLMFEgEBAQF7rV62XgAAAAAA_SMAAAcIGiqsXn6BvLM&S=AQAAAhIzhRxkiPRYG6D_rjODnUk')",1,37,"{'ads.yahoo', 'cookiex.ngd', 'cms.analytics', 'beap-bc.yahoo', 'ups.analytics', 'pr-bh.ybp', '.yahoo'}"
"('A3', 'd=AQABBBoqrF4CEPdY3jmf7y0lqIos6X6BvLMFEgEBAQF7rV62XgAAAAAA_SMAAAcIGiqsXn6BvLM&S=AQAAAhIzhRxkiPRYG6D_rjODnUk')",2,22,"{'ads.yahoo', 'ups.analytics', '.yahoo', 'pr-bh.ybp'}"
"('A3', 'd=AQABBPcsrF4CENuOO3pHfRbNXEYpdY8MhvEFEgEBAQF-rV62XgAAAAAA_SMAAAcI9yysXo8MhvE&S=AQAAAkj_WLuyapbWIKkqElaPtrI')",2,9,"{'.yahoo', 'beap-bc.yahoo', 'cookiex.ngd'}"
"('A3', 'd=AQABBPcsrF4CENuOO3pHfRbNXEYpdY8MhvEFEgEBAQF-rV62XgAAAAAA_SMAAAcI9yysXo8MhvE&S=AQAAAkj_WLuyapbWIKkqElaPtrI')",3,12,"{'sp.analytics', '.yahoo'}"
"('APID', 'UP5375626e-8bb3-11ea-8a1b-02b46a2b338d')",1,18,"{'ads.yahoo', 'cms.analytics', 'pixel.advertising', '.advertising', 'ups.analytics', 'pr-bh.ybp', '.yahoo'}"
"('APID', 'UP5375626e-8bb3-11ea-8a1b-02b46a2b338d')",2,20,"{'ads.yahoo', 'pixel.advertising', 'adserver.adtech', '.advertising', 'adserver-us.adtech', 'ups.analytics', 'pr-bh.ybp'}"
"('APIDTS', '1588341417')",1,2,{'.yahoo'}
"('APIDTS', '1588341417')",2,6,"{'ups.analytics', 'pr-bh.ybp'}"
"('ASP.NET_SessionId', 'qmhzkv32vyqsseubsfq5xrkz')",1,1,{'global.ib-ibi'}
"('ASP.NET_SessionId', 'qmhzkv32vyqsseubsfq5xrkz')",2,2,{'global.ib-ibi'}
"('ASP.NET_SessionId', 'v2r01qcxkympaqbu1fuzmttn')",1,1,{'ib.mookie1'}
"('ASP.NET_SessionId', 'v2r01qcxkympaqbu1fuzmttn')",2,2,{'ib.mookie1'}
"('ATN', '1.1588341315.5646170740280007981.AYInk7_HjCO9ZsBdLIU')",1,2,"{'ad.atdmt', '.atdmt'}"
"('ATN', '1.1588341315.5646170740280007981.AYInk7_HjCO9ZsBdLIU')",2,1,{'cx.atdmt'}
"('B', 'b7f41fpfaoagq&b=3&s=06')",1,53,"{'ads.yahoo', 'cookiex.ngd', 'cms.analytics', 'beap-bc.yahoo', 'ups.analytics', 'pr-bh.ybp', '.yahoo'}"
"('B', 'b7f41fpfaoagq&b=3&s=06')",2,28,"{'ads.yahoo', 'ups.analytics', '.yahoo', 'pr-bh.ybp'}"
"('B', 'f31gchtfaob7n&b=3&s=o0')",2,16,"{'ads.yahoo', 'beap-bc.yahoo', 'cookiex.ngd', 'pr-bh.ybp', '.yahoo'}"
"('B', 'f31gchtfaob7n&b=3&s=o0')",3,12,"{'sp.analytics', '.yahoo'}"
"('CMDD', 'AAKdbQI*')",1,14,"{'a2718.casalemedia', 'ssum-sec.casalemedia', 'dsum-sec.casalemedia', '.casalemedia', 'dsum.casalemedia'}"
"('CMDD', 'AAKdbQI*')",2,4,"{'.casalemedia', 'as-sec.casalemedia', 'a2767.casalemedia'}"
"('CMID', 'XqwqCtHM43gAAFXPqmUAAABE')",1,23,"{'a2718.casalemedia', 'ssum-sec.casalemedia', 'dsum-sec.casalemedia', '.casalemedia', 'as-sec.casalemedia', 'dsum.casalemedia'}"
"('CMID', 'XqwqCtHM43gAAFXPqmUAAABE')",2,6,"{'.casalemedia', 'as-sec.casalemedia', 'a2767.casalemedia'}"
"('CMRUM3', '835eac2a6d276018072662242538953645&275eac2a6d2760f22d0c1f-900e-4c1c-ba61-841bc375953c&285eac2a712760b323da65-057d-4280-a39b-97e5bb9d0e03&b05eac2a6d2760di_afb02741a6d44a27b16a6&585eac2a6d2760XqwqHQAAAD3gWgFU&2e5eac2a6d27607526883567168608467&2d5eac2a442760CAESEAHdSX8y7lfTcWdMTtzzG3M&495eac2a6905a00&c35eac2a6d2760av-c5874241-0311-40e0-bbfe-9ca2ee6fd217')",1,2,{'.casalemedia'}
"('CMRUM3', '835eac2a6d276018072662242538953645&275eac2a6d2760f22d0c1f-900e-4c1c-ba61-841bc375953c&285eac2a712760b323da65-057d-4280-a39b-97e5bb9d0e03&b05eac2a6d2760di_afb02741a6d44a27b16a6&585eac2a6d2760XqwqHQAAAD3gWgFU&2e5eac2a6d27607526883567168608467&2d5eac2a442760CAESEAHdSX8y7lfTcWdMTtzzG3M&495eac2a6905a00&c35eac2a6d2760av-c5874241-0311-40e0-bbfe-9ca2ee6fd217')",2,1,{'a2767.casalemedia'}
"('CMST', 'XqwqCl6sKnEC')",1,2,{'.casalemedia'}
"('CMST', 'XqwqCl6sKnEC')",2,1,{'a2767.casalemedia'}
"('CMSUM', '2e5eac2a6d27607526883567168608467')",1,4,"{'.casalemedia', 'dsum-sec.casalemedia'}"
