visit_id,record_type,change_cause,host,name,value,time_stamp
1,added-or-changed,explicit,.media.net,visitor-id,2306076034971388000V10,2020-04-23T01:40:03.771Z
1,added-or-changed,explicit,.google.com,NID,203=U_oniDAR3tgQhuSGGocv-zF0nNV5v2g5u3Sv-pmYf7SV0Dv0mqnAyZ9HBKkKF30_8sk8uh47lYpWyIhc3DZZIIRGrp4i7u62_HESRfS0RFhueeo9iwEanfUm9veQ7my0M-VgPgGT87q5yO_jHybUVojYC8RlufdJXK3T0E_hcIY,2020-04-23T01:40:04.693Z
1,deleted,overwrite,.google.com,NID,203=q7r89CJwP_ZnEMPn23-CJmdM5H8a5dWsVh0speChfFQuhm3pNmzEqekSy-VCXDGRTdRGnIR443zbLsyElSxWWNbYmcSPGHga0kfkwuw7CsqPRpesAUjoHp9ku4ieImOFiIf9h2Ahwyr6HAHAzUHxmpsscYlYvu_xtJOCvHzw5xc,2020-04-23T01:40:04.719Z
1,added-or-changed,explicit,.google.com,NID,203=q7r89CJwP_ZnEMPn23-CJmdM5H8a5dWsVh0speChfFQuhm3pNmzEqekSy-VCXDGRTdRGnIR443zbLsyElSxWWNbYmcSPGHga0kfkwuw7CsqPRpesAUjoHp9ku4ieImOFiIf9h2Ahwyr6HAHAzUHxmpsscYlYvu_xtJOCvHzw5xc,2020-04-23T01:40:04.720Z
1,deleted,overwrite,.google.com,NID,203=wvNeVoAhuDbgtjkn9ppTH7cJqi0EigVEhGcXbzW6SIK_g-_4SH4P1GAb-G23mvAj9sWCphkbi4Z3wjqtRipbK1kxlG-O8efHXRbUM65ayB07JZU9f4T41iSei2BnRqeNeRrCVCLOwR2P88m_XfDfHJAamVzv6lyGv5mGjqsu9z4,2020-04-23T01:40:04.725Z
1,added-or-changed,explicit,.google.com,NID,203=wvNeVoAhuDbgtjkn9ppTH7cJqi0EigVEhGcXbzW6SIK_g-_4SH4P1GAb-G23mvAj9sWCphkbi4Z3wjqtRipbK1kxlG-O8efHXRbUM65ayB07JZU9f4T41iSei2BnRqeNeRrCVCLOwR2P88m_XfDfHJAamVzv6lyGv5mGjqsu9z4,2020-04-23T01:40:04.725Z
1,added-or-changed,explicit,.scorecardresearch.com,UID,18269a31a11278a8fc1383g1587606006,2020-04-23T01:40:06.519Z
1,added-or-changed,explicit,.scorecardresearch.com,UIDR,1587606006,2020-04-23T01:40:06.519Z
1,added-or-changed,explicit,.pay.google.com,_ga,GA1.3.1914206280.1587606007,2020-04-23T01:40:07.033Z
1,added-or-changed,explicit,.pay.google.com,_gid,GA1.3.1417026157.1587606007,2020-04-23T01:40:07.038Z
1,added-or-changed,explicit,.pay.google.com,_gat_UA1168580691,1,2020-04-23T01:40:07.660Z
1,added-or-changed,explicit,news.google.com,OTZ,5421700_56_56__56_,2020-04-23T01:40:07.741Z
1,added-or-changed,explicit,.openx.net,i,46b871c0-92aa-0901-05b8-382a1ab8b577|1587606008,2020-04-23T01:40:08.114Z
1,added-or-changed,explicit,.adnxs.com,uuid2,4057725772340081525,2020-04-23T01:40:08.131Z
1,added-or-changed,explicit,.bidswitch.net,tuuid,5ecda01e-29cf-4eb3-a7ea-c70dfd1a248e,2020-04-23T01:40:08.200Z
1,added-or-changed,explicit,.bidswitch.net,c,1587606008,2020-04-23T01:40:08.201Z
1,added-or-changed,explicit,.bidswitch.net,tuuid_lu,1587606008,2020-04-23T01:40:08.201Z
1,added-or-changed,explicit,pay.google.com,OTZ,5421700_56_56__56_,2020-04-23T01:40:08.204Z
1,added-or-changed,explicit,.dotomi.com,DotomiTest,46db2b2bbf7311c3,2020-04-23T01:40:08.229Z
1,added-or-changed,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-23T01:40:08.378Z
1,added-or-changed,explicit,.bluekai.com,bkdc,phx,2020-04-23T01:40:08.427Z
1,added-or-changed,explicit,.bluekai.com,bku,5LD99wMhGa8gboy6,2020-04-23T01:40:08.427Z
1,added-or-changed,explicit,eus.rubiconproject.com,cd,false,2020-04-23T01:40:08.723Z
1,deleted,explicit,eus.rubiconproject.com,cd,false,2020-04-23T01:40:08.724Z
1,added-or-changed,explicit,.media.net,data-a,4057725772340081525~~1,2020-04-23T01:40:08.760Z
1,added-or-changed,explicit,.media.net,data-co,AAAGTalwAwS8dAMDPL-SAAAAAAA~~1,2020-04-23T01:40:08.769Z
1,added-or-changed,explicit,.rubiconproject.com,audit,1|JsAqLCEfAslGsfMiSzpyJYxGBXLSn9YkH5Y0Bg3iwR68HESwnmAnnAQhi18uGiHUrl7CZ0mvUHn2P6YB1bf/YKrK6aORrv6f,2020-04-23T01:40:08.911Z
1,added-or-changed,explicit,.rubiconproject.com,khaos,K9C3MKHP-6-HI8X,2020-04-23T01:40:08.911Z
1,added-or-changed,explicit,.yahoo.com,B,83sjno5fa1sfo&b=3&s=u7,2020-04-23T01:40:08.931Z
1,added-or-changed,explicit,.yahoo.com,A3,d=AQABBPjxoF4CEFZcX3s0S4RdFPep28F38oEFEgEBAQFDol6qXgAAAAAA_SMAAA&S=AQAAAumk1jvxgq9lKTrIXO0ZBYc,2020-04-23T01:40:08.931Z
1,deleted,overwrite,.yahoo.com,B,83sjno5fa1sfo&b=3&s=u7,2020-04-23T01:40:08.932Z
1,added-or-changed,explicit,.yahoo.com,B,83sjno5fa1sfo&b=3&s=u7,2020-04-23T01:40:08.938Z
1,added-or-changed,explicit,.yahoo.com,GUC,AQEBAQFeokNeqkIeyASb,2020-04-23T01:40:08.938Z
1,added-or-changed,explicit,.dnacdn.net,browser_data,Ezrz819vMDJwMzZ5VlNnWmtnTzJGZXF5NDFVV1Z2VFQ4blFLTnhyYzUlMkJtNlVIMTAwcXNDWmV6SktTdlhVaTc0TWpHV2h3bjdCTlBESHVUWW8lMkJNOEVTNXNRSkElM0QlM0Q,2020-04-23T01:40:08.997Z
1,added-or-changed,explicit,eus.rubiconproject.com,pux,1512%3D90361%262231%3D90361%262249%3D90361%262307%3D90361%262974%3D90361%26goog%3D90361%26idl%3D90361%26brx%3D90361%26,2020-04-23T01:40:09.032Z
