visit_id,name,value,time_stamp,type
1,visitor-id,2306076034971388000V10,2020-04-23T01:40:03.771Z,set
1,NID,203=U_oniDAR3tgQhuSGGocv-zF0nNV5v2g5u3Sv-pmYf7SV0Dv0mqnAyZ9HBKkKF30_8sk8uh47lYpWyIhc3DZZIIRGrp4i7u62_HESRfS0RFhueeo9iwEanfUm9veQ7my0M-VgPgGT87q5yO_jHybUVojYC8RlufdJXK3T0E_hcIY,2020-04-23T01:40:04.693Z,set
1,NID,203=q7r89CJwP_ZnEMPn23-CJmdM5H8a5dWsVh0speChfFQuhm3pNmzEqekSy-VCXDGRTdRGnIR443zbLsyElSxWWNbYmcSPGHga0kfkwuw7CsqPRpesAUjoHp9ku4ieImOFiIf9h2Ahwyr6HAHAzUHxmpsscYlYvu_xtJOCvHzw5xc,2020-04-23T01:40:04.719Z,set
1,NID,203=q7r89CJwP_ZnEMPn23-CJmdM5H8a5dWsVh0speChfFQuhm3pNmzEqekSy-VCXDGRTdRGnIR443zbLsyElSxWWNbYmcSPGHga0kfkwuw7CsqPRpesAUjoHp9ku4ieImOFiIf9h2Ahwyr6HAHAzUHxmpsscYlYvu_xtJOCvHzw5xc,2020-04-23T01:40:04.720Z,set
1,NID,203=wvNeVoAhuDbgtjkn9ppTH7cJqi0EigVEhGcXbzW6SIK_g-_4SH4P1GAb-G23mvAj9sWCphkbi4Z3wjqtRipbK1kxlG-O8efHXRbUM65ayB07JZU9f4T41iSei2BnRqeNeRrCVCLOwR2P88m_XfDfHJAamVzv6lyGv5mGjqsu9z4,2020-04-23T01:40:04.725Z,set
1,NID,203=wvNeVoAhuDbgtjkn9ppTH7cJqi0EigVEhGcXbzW6SIK_g-_4SH4P1GAb-G23mvAj9sWCphkbi4Z3wjqtRipbK1kxlG-O8efHXRbUM65ayB07JZU9f4T41iSei2BnRqeNeRrCVCLOwR2P88m_XfDfHJAamVzv6lyGv5mGjqsu9z4,2020-04-23T01:40:04.725Z,set
1,UID,18269a31a11278a8fc1383g1587606006,2020-04-23T01:40:06.519Z,set
1,UIDR,1587606006,2020-04-23T01:40:06.519Z,set
1,_ga,GA1.3.1914206280.1587606007,2020-04-23T01:40:07.033Z,set
1,_gid,GA1.3.1417026157.1587606007,2020-04-23T01:40:07.038Z,set
1,_gat_UA1168580691,1,2020-04-23T01:40:07.660Z,set
1,OTZ,5421700_56_56__56_,2020-04-23T01:40:07.741Z,set
1,i,46b871c0-92aa-0901-05b8-382a1ab8b577|1587606008,2020-04-23T01:40:08.114Z,set
1,uuid2,4057725772340081525,2020-04-23T01:40:08.131Z,set
