namevalue,context_id,time_stamp
"('131', '20200430')",2,1
"('A3', 'd=AQABBCUdql4CEGi2rzt2Bw3x7g0UObpTkJAFEgEBAQFuq160XgAAAAAA_SMAAA&S=AQAAAk73WVzOzegAjq4wO6dbuqw')",2,3
"('A3', 'd=AQABBCUdql4CEGi2rzt2Bw3x7g0UObpTkJAFEgEBAQFuq160XgAAAAAA_SMAAAcIJR2qXrpTkJA&S=AQAAAltveeUVJTz-FPHBMk9Cl74')",2,8
"('A3', 'd=AQABBCUdql4CEGi2rzt2Bw3x7g0UObpTkJAFEgEBAQFuq160XgAAAAAA_SMAAAcIJR2qXrpTkJA&S=AQAAAltveeUVJTz-FPHBMk9Cl74')",3,6
"('A6', '10nGKmsLHj000MIY00001000010pmHzsLHj000Isj000010000')",2,5
"('A6', '10nGKmsLHk000MIY00002000010pmHzsLHj000Isj000010000')",2,2
"('A6', '10pmHzsLHj000Isj000010000')",2,4
"('AA003', 'AXyeXbA45L9dQVGM08hCfGfV3wZXDqD_BROLnCHtraTYuyNJUH1xP8Sx7KedJo6SnMc')",3,1
"('AC', '1')",3,5
"('ADKUID', 'A5378305647784042199')",2,2
"('ADK_EX_193', '1')",2,1
"('AMCVS_16AD4362526701720A490D45%40AdobeOrg', '1')",3,974
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CMCAAMLH-1588811844%7C7%7CMCAAMB-1588811844%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588214244s%7CNONE%7CMCAID%7CNONE%7CvVersion%7C4.4.0')",3,36
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CMCAAMLH-1588811844%7C7%7CMCAAMB-1588811844%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588214244s%7CNONE%7CvVersion%7C4.4.0')",3,62
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CMCAAMLH-1588811844%7C7%7CMCAAMB-1588811844%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CMCOPTOUT-1588214245s%7CNONE%7CMCAID%7CNONE%7CvVersion%7C4.4.0')",3,878
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CMCAAMLH-1588811844%7C7%7CMCAAMB-1588811844%7CRKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y%7CvVersion%7C4.4.0')",3,5
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CMCAAMLH-1588811844%7C7%7CvVersion%7C4.4.0')",3,2
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CMCMID%7C51653621897660961372040300670528026202%7CvVersion%7C4.4.0')",3,2
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', '1585540135%7CMCIDTS%7C18383%7CvVersion%7C4.4.0')",3,125
"('AMCV_16AD4362526701720A490D45%40AdobeOrg', 'nan')",3,1
"('APID', 'UPc56cb3dc-8a7a-11ea-bfe8-0e49b6c6069d')",3,5
"('APIDTS', '1588207057')",3,1
"('ASP.NET_SessionId', 'q2w1egqk4afdahy1txnku1cc')",3,2
"('ASP.NET_SessionId', 'sfj3ckcimfte0kpgaxztdao5')",3,2
"('ATN', '1.1588207221.14336027538566732007.AYK_957-euf6To9jUTg')",3,1
"('AWSALB', '4nNFuCRSAeIFg4+hTwRqfyyEh/j3O0Ugv9tTSuByCOoyzc90ZVg2AGbYRoKbMNXkbwoe0e1t4LWYI+cRJHk5ByVkPW/l7X1+MqxdU5Lw4XT+LsBSWFOmqvEu3dMo')",3,2
"('AWSALB', 'Fo9Goxn7WHgqnokqXHnNBawT1Z1C5yU+JWZdxKYL1NfDoN+LZVarOHBe64upuu1/8LzgSzSDWV08Xn0/6FccCHKA8YByQagtWNWu6orDutmiMqnxOSw2N4ncUkn5')",3,2
"('AWSALB', 'g5Rm07hactTi37B4nwZNvOpWr4sNmqPcwrnh7kRLPPVeQzW1E+wBlPx1Vb/gNqbIrilFw+yAj05zr8n6xkGCK2REPUd0bxDOXycJYDLUy0UQwy7hcry/nBdp5Cgd')",3,1
"('AWSALBCORS', '4nNFuCRSAeIFg4+hTwRqfyyEh/j3O0Ugv9tTSuByCOoyzc90ZVg2AGbYRoKbMNXkbwoe0e1t4LWYI+cRJHk5ByVkPW/l7X1+MqxdU5Lw4XT+LsBSWFOmqvEu3dMo')",3,2
"('AWSALBCORS', 'Fo9Goxn7WHgqnokqXHnNBawT1Z1C5yU+JWZdxKYL1NfDoN+LZVarOHBe64upuu1/8LzgSzSDWV08Xn0/6FccCHKA8YByQagtWNWu6orDutmiMqnxOSw2N4ncUkn5')",3,2
"('AWSALBCORS', 'g5Rm07hactTi37B4nwZNvOpWr4sNmqPcwrnh7kRLPPVeQzW1E+wBlPx1Vb/gNqbIrilFw+yAj05zr8n6xkGCK2REPUd0bxDOXycJYDLUy0UQwy7hcry/nBdp5Cgd')",3,1
"('AWSELB', '79A3199D10510369DCF60AC124D33FFF155635892213FCE10CD68EF1D878A534CA035F101A4DDA7C181E5ED7E37A6F89E0BE7ADBED07728C0E9869186FBBC055202621EB4928A28063708AB78F71F2F99AE33D5619')",1,3
"('B', '9142jn9fak795&b=3&s=q1')",2,17
"('B', '9142jn9fak795&b=3&s=q1')",3,6
"('CDIUSER', 'di_7f7d35aece96411ebe476')",2,2
"('CMID', 'XqodKdHM45AAAF0dEWkAAABe')",2,5
"('CMPRO', '594')",2,4
"('CMPS', '972')",2,5
"('CMRUM3', '2d5eaa1d872760CAESENqLqs9Jc_-mPoKnLO0GUbA')",2,1
"('CMST', 'XqodKV6qHSkA')",2,2
"('CMST', 'XqodKV6qHYcA')",2,2
"('DMADT', 'INXlSnGpTBWVz4xrylJzoA')",3,4
"('DPSync2', '1589414400%3A201_200%7C1588809600%3A164%7C1588291200%3A174')",3,15
"('DSID', 'NO_DATA')",2,61
"('DSID', 'NO_DATA')",3,95
"('DW', '00000000-0000-0079-00e8-f31588206888')",2,4
"('DW', '00000000-0000-0079-00e8-f31588206888')",3,3
"('DW_Time', '1588206888')",2,6
"('DW_Time', '1588206888')",3,3
"('DotomiTest', '26614a3f3c491591')",2,2
"('DotomiTest', '26614a3f3c491591')",3,1
"('DotomiTest', '31ba5402b13711d8')",2,3
"('DotomiTest', '6a96563af5a111d1')",3,2
"('EE', '""b26da463e81eb16556d519faa5dfd13d""')",3,5
"('EE', '\\b26da463e81eb16556d519faa5dfd13d\\')",3,2
"('GLOBALID', '2uKlc8-sIBd987FnXwXAHp6Ff3UDp1b9dnA4nXHIJEN2DX3xr3agTJy1Q6Mpg0u2kQWdP-H0lbMC0')",2,1
"('GPS', '1')",1,211
"('GUC', 'AQEBAQFeq25etEIZaAO5')",2,11
"('GUC', 'AQEBAQFeq25etEIZaAO5')",3,6
"('GoogleAdServingTest', 'Good')",2,2
"('GoogleAdServingTest', 'Good')",3,2
"('GoogleAdServingTest', 'nan')",2,1
"('GoogleAdServingTest', 'nan')",3,1
"('IDE', 'AHWqTUmJCxe3D_Jf_kwUPXQcD5YZ8q4AR_xxANL9UxzghXK1wduLKBBRiOscumHW')",1,21
