inbound,outbound,weight
medscape,cnn,9
medscape,nytimes,3
medscape,washingtonpost,5
medscape,theguardian,15
medscape,forbes,10
webmd,cnn,27
webmd,theguardian,41
webmd,washingtonpost,13
webmd,forbes,37
webmd,nytimes,14
verywellhealth,cnn,11
verywellhealth,nytimes,4
verywellhealth,washingtonpost,9
verywellhealth,forbes,11
verywellhealth,theguardian,11
forbes,colledgeboard,6
forbes,mit,1
forbes,edx,4
forbes,jhu,2
forbes,harvard,2
myfitnesspal,cnn,17
myfitnesspal,theguardian,29
myfitnesspal,washingtonpost,9
myfitnesspal,forbes,29
myfitnesspal,nytimes,8
mayoclinic,washingtonpost,3
mayoclinic,forbes,4
mayoclinic,cnn,5
mayoclinic,nytimes,4
mayoclinic,theguardian,4
theguardian,colledgeboard,1
cnn,colledgeboard,1
nytimes,colledgeboard,1
