inbound,outbound,weight
medscape,nytimes,7
medscape,cnn,12
medscape,washingtonpost,7
medscape,theguardian,17
medscape,forbes,14
webmd,nytimes,12
webmd,cnn,32
webmd,theguardian,41
webmd,washingtonpost,13
webmd,forbes,38
myfitnesspal,nytimes,9
myfitnesspal,cnn,17
myfitnesspal,theguardian,24
myfitnesspal,washingtonpost,11
myfitnesspal,forbes,23
colledgeboard,medscape,4
colledgeboard,mayoclinic,2
colledgeboard,webmd,5
colledgeboard,myfitnesspal,3
colledgeboard,verywellhealth,1
colledgeboard,forbes,1
verywellhealth,nytimes,3
verywellhealth,cnn,11
verywellhealth,washingtonpost,7
verywellhealth,forbes,7
verywellhealth,theguardian,9
mayoclinic,washingtonpost,5
mayoclinic,cnn,7
mayoclinic,nytimes,5
mayoclinic,theguardian,7
mayoclinic,forbes,6
edx,webmd,2
edx,medscape,2
edx,mayoclinic,3
edx,forbes,1
edx,verywellhealth,1
edx,myfitnesspal,1
harvard,medscape,2
harvard,mayoclinic,2
harvard,verywellhealth,1
harvard,myfitnesspal,1
harvard,webmd,1
jhu,webmd,1
