exp,from,to,by
1,nytimes,verywellhealth,rubiconproject
1,nytimes,mayoclinic,rubiconproject
1,nytimes,medscape,deepintent
1,nytimes,myfitnesspal,rubiconproject
1,nytimes,webmd,rubiconproject
1,nytimes,medscape,rubiconproject
1,forbes,myfitnesspal,advertising
1,forbes,webmd,pubmatic
1,forbes,webmd,adsrvr
1,forbes,mayoclinic,rubiconproject
1,forbes,webmd,everesttech
1,forbes,webmd,3lift
1,forbes,webmd,taboola
1,forbes,webmd,mathtag
1,forbes,webmd,scorecardresearch
1,forbes,webmd,turn.com
1,forbes,webmd,crwdcntrl
1,forbes,webmd,atdmt
1,forbes,webmd,bidr
1,forbes,webmd,adsymptotic
1,forbes,webmd,spotxchange
1,forbes,webmd,rubiconproject
1,forbes,myfitnesspal,scorecardresearch
1,forbes,webmd,extend.tv
1,forbes,webmd,owneriq
1,forbes,webmd,ipredictive
1,forbes,webmd,w55c
1,forbes,webmd,agkn
1,forbes,webmd,amazon-adsystem
1,forbes,mayoclinic,doubleclick
1,forbes,webmd,yahoo
1,forbes,webmd,simpli
1,forbes,myfitnesspal,amazon-adsystem
1,forbes,webmd,exelator
1,forbes,webmd,twitter
1,forbes,webmd,facebook
1,forbes,webmd,ib-ibi
1,forbes,webmd,adentifi
1,forbes,myfitnesspal,rubiconproject
1,forbes,webmd,zemanta
1,forbes,webmd,casalemedia
1,forbes,webmd,districtm
1,forbes,webmd,bluekai
1,forbes,webmd,dnacdn
1,forbes,webmd,adnxs
1,forbes,myfitnesspal,openx
1,forbes,myfitnesspal,adform
1,forbes,webmd,mookie1
1,forbes,myfitnesspal,taboola
1,forbes,webmd,contextweb
1,forbes,myfitnesspal,contextweb
1,forbes,webmd,media.net
1,forbes,webmd,tapad
1,forbes,myfitnesspal,adnxs
1,forbes,medscape,deepintent
1,forbes,webmd,demdex
1,forbes,myfitnesspal,casalemedia
1,forbes,myfitnesspal,bluekai
1,forbes,webmd,quantserve
1,forbes,webmd,sitescout
1,forbes,webmd,sharethrough
1,forbes,myfitnesspal,sharethrough
1,forbes,myfitnesspal,bing
1,forbes,webmd,rlcdn
1,forbes,medscape,rubiconproject
1,forbes,myfitnesspal,yahoo
1,forbes,webmd,krxd
1,forbes,verywellhealth,rubiconproject
1,forbes,webmd,1rx
1,forbes,webmd,advertising
1,forbes,mayoclinic,scorecardresearch
1,forbes,mayoclinic,mathtag
1,forbes,mayoclinic,bing
1,forbes,webmd,bttrack
1,forbes,myfitnesspal,bidr
1,forbes,webmd,doubleclick
1,forbes,webmd,openx
1,forbes,myfitnesspal,doubleclick
1,forbes,webmd,mxptint
1,forbes,webmd,adform
1,forbes,myfitnesspal,myvisualiq
1,forbes,webmd,srv
1,forbes,webmd,bidswitch
1,theguardian,medscape,deepintent
1,washingtonpost,webmd,adsrvr
1,washingtonpost,mayoclinic,rubiconproject
1,washingtonpost,webmd,everesttech
1,washingtonpost,webmd,scorecardresearch
1,washingtonpost,webmd,rubiconproject
1,washingtonpost,myfitnesspal,scorecardresearch
1,washingtonpost,webmd,amazon-adsystem
1,washingtonpost,mayoclinic,doubleclick
1,washingtonpost,webmd,yahoo
1,washingtonpost,myfitnesspal,amazon-adsystem
1,washingtonpost,myfitnesspal,rubiconproject
1,washingtonpost,webmd,casalemedia
1,washingtonpost,webmd,districtm
1,washingtonpost,webmd,adnxs
1,washingtonpost,myfitnesspal,openx
1,washingtonpost,mayoclinic,nr-data
1,washingtonpost,myfitnesspal,adnxs
1,washingtonpost,myfitnesspal,casalemedia
1,washingtonpost,webmd,rkdms
1,washingtonpost,webmd,sitescout
1,washingtonpost,webmd,sharethrough
1,washingtonpost,myfitnesspal,sharethrough
1,washingtonpost,medscape,rubiconproject
1,washingtonpost,webmd,krxd
1,washingtonpost,verywellhealth,rubiconproject
1,washingtonpost,mayoclinic,scorecardresearch
1,washingtonpost,webmd,openx
1,washingtonpost,webmd,doubleclick
1,washingtonpost,myfitnesspal,doubleclick
1,washingtonpost,webmd,srv
1,washingtonpost,webmd,bidswitch
1,medscape,harvard,nr-data
1,medscape,edx,doubleclick
1,medscape,harvard,doubleclick
1,medscape,colledgeboard,everesttech
1,medscape,edx,nr-data
1,medscape,edx,adsymptotic
1,medscape,harvard,facebook
1,medscape,colledgeboard,nr-data
1,medscape,mit,doubleclick
1,medscape,colledgeboard,doubleclick
1,medscape,jhu,facebook
1,medscape,jhu,doubleclick
1,medscape,colledgeboard,facebook
1,medscape,colledgeboard,demdex
1,medscape,edx,facebook
1,medscape,colledgeboard,yahoo
1,myfitnesspal,edx,doubleclick
1,myfitnesspal,harvard,doubleclick
1,myfitnesspal,colledgeboard,everesttech
1,myfitnesspal,mit,doubleclick
1,myfitnesspal,colledgeboard,doubleclick
1,myfitnesspal,jhu,doubleclick
1,myfitnesspal,colledgeboard,yahoo
1,verywellhealth,harvard,nr-data
1,verywellhealth,edx,doubleclick
1,verywellhealth,harvard,doubleclick
1,verywellhealth,edx,nr-data
1,verywellhealth,colledgeboard,nr-data
1,verywellhealth,mit,doubleclick
1,verywellhealth,colledgeboard,doubleclick
1,verywellhealth,jhu,doubleclick
1,cnn,verywellhealth,rubiconproject
1,cnn,mayoclinic,rubiconproject
1,cnn,myfitnesspal,rubiconproject
1,cnn,webmd,rubiconproject
1,cnn,medscape,rubiconproject
2,medscape,theguardian,acuityplatform
2,medscape,forbes,sharethrough
2,medscape,washingtonpost,openx
2,medscape,theguardian,deepintent
2,medscape,theguardian,contextweb
2,medscape,forbes,bidswitch
2,medscape,theguardian,facebook
2,medscape,theguardian,creativecdn
2,medscape,forbes,doubleclick
2,medscape,theguardian,turn.com
2,medscape,theguardian,adnxs
2,medscape,nytimes,doubleclick
2,medscape,theguardian,sharethrough
2,medscape,theguardian,bidswitch
2,medscape,forbes,facebook
2,medscape,forbes,openx
2,medscape,theguardian,rfihub
2,medscape,cnn,adnxs
2,medscape,cnn,sharethrough
2,medscape,nytimes,openx
2,medscape,washingtonpost,adnxs
2,medscape,theguardian,demdex
2,medscape,theguardian,bttrack
2,medscape,forbes,turn.com
2,medscape,theguardian,doubleclick
2,medscape,cnn,doubleclick
2,medscape,forbes,rfihub
2,medscape,washingtonpost,nr-data
2,medscape,cnn,facebook
2,medscape,forbes,media.net
2,medscape,theguardian,media.net
2,medscape,forbes,adnxs
2,medscape,washingtonpost,sharethrough
2,medscape,cnn,openx
2,medscape,cnn,creativecdn
2,medscape,cnn,demdex
2,medscape,cnn,bidswitch
2,medscape,theguardian,w55c
2,medscape,washingtonpost,doubleclick
2,medscape,nytimes,media.net
2,medscape,forbes,w55c
2,medscape,cnn,bttrack
2,verywellhealth,washingtonpost,adsrvr
2,verywellhealth,theguardian,crwdcntrl
2,verywellhealth,washingtonpost,advertising
2,verywellhealth,forbes,scorecardresearch
2,verywellhealth,washingtonpost,yahoo
2,verywellhealth,cnn,rubiconproject
2,verywellhealth,washingtonpost,rubiconproject
2,verywellhealth,cnn,dnacdn
2,verywellhealth,washingtonpost,amazon-adsystem
2,verywellhealth,forbes,bidswitch
2,verywellhealth,theguardian,casalemedia
2,verywellhealth,cnn,srv
2,verywellhealth,forbes,doubleclick
2,verywellhealth,cnn,adsrvr
2,verywellhealth,nytimes,doubleclick
2,verywellhealth,cnn,casalemedia
2,verywellhealth,theguardian,srv
2,verywellhealth,theguardian,bidswitch
2,verywellhealth,forbes,yahoo
2,verywellhealth,forbes,advertising
2,verywellhealth,theguardian,adsrvr
2,verywellhealth,washingtonpost,casalemedia
2,verywellhealth,washingtonpost,rkdms
2,verywellhealth,cnn,scorecardresearch
2,verywellhealth,theguardian,yahoo
2,verywellhealth,theguardian,scorecardresearch
2,verywellhealth,forbes,bidr
2,verywellhealth,theguardian,bidr
2,verywellhealth,forbes,rubiconproject
2,verywellhealth,cnn,amazon-adsystem
2,verywellhealth,theguardian,doubleclick
2,verywellhealth,theguardian,amazon-adsystem
2,verywellhealth,cnn,doubleclick
2,verywellhealth,cnn,rlcdn
2,verywellhealth,theguardian,advertising
2,verywellhealth,forbes,adsrvr
2,verywellhealth,forbes,srv
2,verywellhealth,nytimes,scorecardresearch
2,verywellhealth,cnn,rkdms
2,verywellhealth,forbes,casalemedia
2,verywellhealth,nytimes,crwdcntrl
2,verywellhealth,nytimes,amazon-adsystem
2,verywellhealth,cnn,bidswitch
2,verywellhealth,washingtonpost,doubleclick
2,verywellhealth,washingtonpost,srv
2,verywellhealth,forbes,amazon-adsystem
2,webmd,washingtonpost,advertising
2,webmd,cnn,mathtag
2,webmd,theguardian,extend.tv
2,webmd,forbes,sharethrough
2,webmd,washingtonpost,openx
2,webmd,washingtonpost,yahoo
2,webmd,cnn,rubiconproject
2,webmd,nytimes,everesttech
2,webmd,washingtonpost,rubiconproject
2,webmd,washingtonpost,amazon-adsystem
2,webmd,forbes,bidswitch
2,webmd,theguardian,bluekai
2,webmd,cnn,pubmatic
2,webmd,theguardian,adnxs
2,webmd,forbes,facebook
2,webmd,forbes,openx
2,webmd,forbes,yahoo
2,webmd,theguardian,adsrvr
2,webmd,theguardian,tapad
2,webmd,nytimes,3lift
2,webmd,forbes,adsymptotic
2,webmd,forbes,turn.com
2,webmd,cnn,agkn
2,webmd,cnn,rlcdn
2,webmd,theguardian,advertising
2,webmd,washingtonpost,sharethrough
2,webmd,forbes,casalemedia
2,webmd,theguardian,zemanta
2,webmd,cnn,openx
2,webmd,forbes,adform
2,webmd,cnn,demdex
2,webmd,cnn,bidswitch
2,webmd,nytimes,adform
2,webmd,forbes,agkn
2,webmd,theguardian,mfadsrvr
2,webmd,forbes,owneriq
2,webmd,washingtonpost,adsrvr
2,webmd,theguardian,contextweb
2,webmd,nytimes,smartadserver
2,webmd,theguardian,facebook
2,webmd,theguardian,casalemedia
2,webmd,cnn,srv
2,webmd,forbes,doubleclick
2,webmd,forbes,zemanta
2,webmd,theguardian,turn.com
2,webmd,theguardian,sharethrough
2,webmd,cnn,casalemedia
2,webmd,theguardian,srv
2,webmd,cnn,sharethrough
2,webmd,washingtonpost,casalemedia
2,webmd,nytimes,openx
2,webmd,cnn,twitter
2,webmd,theguardian,gumgum
2,webmd,theguardian,bidr
2,webmd,cnn,amazon-adsystem
2,webmd,theguardian,1rx
2,webmd,forbes,adsrvr
2,webmd,nytimes,twitter
2,webmd,washingtonpost,krxd
2,webmd,nytimes,amazon-adsystem
2,webmd,cnn,krxd
2,webmd,forbes,twitter
2,webmd,theguardian,everesttech
2,webmd,theguardian,w55c
2,webmd,washingtonpost,doubleclick
2,webmd,forbes,w55c
2,webmd,nytimes,bluekai
2,webmd,forbes,sitescout
2,webmd,nytimes,mathtag
2,webmd,theguardian,3lift
2,webmd,cnn,adsrvr
2,webmd,nytimes,doubleclick
2,webmd,cnn,bluekai
2,webmd,cnn,everesttech
2,webmd,cnn,quantserve
2,webmd,theguardian,pubmatic
2,webmd,cnn,adnxs
2,webmd,forbes,1rx
2,webmd,washingtonpost,rkdms
2,webmd,cnn,scorecardresearch
2,webmd,forbes,krxd
2,webmd,theguardian,demdex
2,webmd,theguardian,scorecardresearch
2,webmd,forbes,bidr
2,webmd,cnn,mfadsrvr
2,webmd,theguardian,doubleclick
2,webmd,forbes,atdmt
2,webmd,cnn,doubleclick
2,webmd,forbes,srv
2,webmd,cnn,zemanta
2,webmd,nytimes,scorecardresearch
2,webmd,cnn,rkdms
2,webmd,theguardian,adform
2,webmd,nytimes,crwdcntrl
2,webmd,theguardian,quantserve
2,webmd,theguardian,owneriq
2,webmd,theguardian,zorosrv
2,webmd,washingtonpost,srv
2,webmd,forbes,addthis
2,webmd,theguardian,crwdcntrl
2,webmd,forbes,quantserve
2,webmd,theguardian,ipredictive
2,webmd,forbes,scorecardresearch
2,webmd,forbes,tapad
2,webmd,theguardian,bidswitch
2,webmd,theguardian,adsymptotic
2,webmd,forbes,advertising
2,webmd,theguardian,krxd
2,webmd,washingtonpost,adnxs
2,webmd,cnn,exelator
2,webmd,theguardian,yahoo
2,webmd,forbes,rubiconproject
2,webmd,theguardian,mxptint
2,webmd,theguardian,amazon-adsystem
2,webmd,forbes,mathtag
2,webmd,forbes,taboola
2,webmd,forbes,pubmatic
2,webmd,cnn,facebook
2,webmd,theguardian,simpli
2,webmd,forbes,media.net
2,webmd,theguardian,media.net
2,webmd,forbes,adnxs
2,webmd,forbes,bluekai
2,webmd,theguardian,taboola
2,webmd,forbes,ib-ibi
2,webmd,theguardian,sitescout
2,webmd,theguardian,mathtag
2,webmd,nytimes,yieldmo
2,webmd,forbes,exelator
2,webmd,cnn,spotxchange
2,webmd,nytimes,media.net
2,webmd,forbes,amazon-adsystem
2,forbes,colledgeboard,advertising
2,forbes,edx,doubleclick
2,forbes,harvard,doubleclick
2,forbes,colledgeboard,everesttech
2,forbes,edx,adsymptotic
2,forbes,harvard,facebook
2,forbes,edx,linkedin
2,forbes,mit,doubleclick
2,forbes,colledgeboard,doubleclick
2,forbes,jhu,facebook
2,forbes,jhu,doubleclick
2,forbes,colledgeboard,facebook
2,forbes,colledgeboard,demdex
2,forbes,edx,facebook
2,forbes,colledgeboard,yahoo
2,myfitnesspal,washingtonpost,advertising
2,myfitnesspal,forbes,sharethrough
2,myfitnesspal,washingtonpost,openx
2,myfitnesspal,washingtonpost,yahoo
2,myfitnesspal,cnn,rubiconproject
2,myfitnesspal,washingtonpost,rubiconproject
2,myfitnesspal,theguardian,tribalfusion
2,myfitnesspal,washingtonpost,amazon-adsystem
2,myfitnesspal,forbes,bidswitch
2,myfitnesspal,theguardian,bluekai
2,myfitnesspal,theguardian,adnxs
2,myfitnesspal,cnn,pubmatic
2,myfitnesspal,forbes,facebook
2,myfitnesspal,forbes,openx
2,myfitnesspal,forbes,yahoo
2,myfitnesspal,theguardian,tapad
2,myfitnesspal,theguardian,advertising
2,myfitnesspal,theguardian,advangelists
2,myfitnesspal,forbes,rfihub
2,myfitnesspal,washingtonpost,sharethrough
2,myfitnesspal,forbes,casalemedia
2,myfitnesspal,theguardian,zemanta
2,myfitnesspal,cnn,openx
2,myfitnesspal,forbes,adform
2,myfitnesspal,cnn,bidswitch
2,myfitnesspal,nytimes,adform
2,myfitnesspal,forbes,owneriq
2,myfitnesspal,theguardian,contextweb
2,myfitnesspal,nytimes,smartadserver
2,myfitnesspal,forbes,dotomi
2,myfitnesspal,theguardian,facebook
2,myfitnesspal,theguardian,casalemedia
2,myfitnesspal,forbes,zemanta
2,myfitnesspal,forbes,doubleclick
2,myfitnesspal,theguardian,sharethrough
2,myfitnesspal,cnn,casalemedia
2,myfitnesspal,cnn,sharethrough
2,myfitnesspal,washingtonpost,casalemedia
2,myfitnesspal,nytimes,openx
2,myfitnesspal,theguardian,bidr
2,myfitnesspal,cnn,amazon-adsystem
2,myfitnesspal,theguardian,1rx
2,myfitnesspal,nytimes,bing
2,myfitnesspal,nytimes,amazon-adsystem
2,myfitnesspal,theguardian,w55c
2,myfitnesspal,washingtonpost,doubleclick
2,myfitnesspal,forbes,w55c
2,myfitnesspal,theguardian,bing
2,myfitnesspal,nytimes,bluekai
2,myfitnesspal,forbes,sitescout
2,myfitnesspal,forbes,iasds01
2,myfitnesspal,nytimes,doubleclick
2,myfitnesspal,cnn,bluekai
2,myfitnesspal,theguardian,dotomi
2,myfitnesspal,cnn,quantserve
2,myfitnesspal,theguardian,pubmatic
2,myfitnesspal,cnn,adnxs
2,myfitnesspal,cnn,bing
2,myfitnesspal,forbes,1rx
2,myfitnesspal,cnn,scorecardresearch
2,myfitnesspal,theguardian,scorecardresearch
2,myfitnesspal,forbes,bidr
2,myfitnesspal,theguardian,doubleclick
2,myfitnesspal,theguardian,appier
2,myfitnesspal,cnn,doubleclick
2,myfitnesspal,cnn,zemanta
2,myfitnesspal,nytimes,scorecardresearch
2,myfitnesspal,theguardian,adform
2,myfitnesspal,theguardian,quantserve
2,myfitnesspal,theguardian,owneriq
2,myfitnesspal,forbes,quantserve
2,myfitnesspal,forbes,scorecardresearch
2,myfitnesspal,forbes,tapad
2,myfitnesspal,theguardian,bidswitch
2,myfitnesspal,forbes,advertising
2,myfitnesspal,theguardian,rfihub
2,myfitnesspal,washingtonpost,adnxs
2,myfitnesspal,cnn,exelator
2,myfitnesspal,theguardian,yahoo
2,myfitnesspal,forbes,rubiconproject
2,myfitnesspal,theguardian,amazon-adsystem
2,myfitnesspal,forbes,taboola
2,myfitnesspal,forbes,pubmatic
2,myfitnesspal,cnn,facebook
2,myfitnesspal,forbes,adnxs
2,myfitnesspal,forbes,bluekai
2,myfitnesspal,theguardian,taboola
2,myfitnesspal,theguardian,sitescout
2,myfitnesspal,forbes,myvisualiq
2,myfitnesspal,forbes,exelator
2,myfitnesspal,cnn,spotxchange
2,myfitnesspal,forbes,amazon-adsystem
2,mayoclinic,forbes,rubiconproject
2,mayoclinic,forbes,doubleclick
2,mayoclinic,cnn,mathtag
2,mayoclinic,theguardian,doubleclick
2,mayoclinic,theguardian,mathtag
2,mayoclinic,nytimes,doubleclick
2,mayoclinic,forbes,scorecardresearch
2,mayoclinic,theguardian,scorecardresearch
2,mayoclinic,cnn,rubiconproject
2,mayoclinic,cnn,doubleclick
2,mayoclinic,forbes,mathtag
2,mayoclinic,washingtonpost,nr-data
2,mayoclinic,cnn,bing
2,mayoclinic,cnn,scorecardresearch
2,mayoclinic,washingtonpost,doubleclick
2,mayoclinic,washingtonpost,rubiconproject
2,mayoclinic,nytimes,mathtag
2,mayoclinic,theguardian,bing
2,mayoclinic,nytimes,scorecardresearch
2,mayoclinic,nytimes,bing
2,cnn,colledgeboard,everesttech
2,nytimes,colledgeboard,everesttech
2,theguardian,colledgeboard,everesttech
3,nytimes,webmd,amazon-adsystem
3,nytimes,webmd,contextweb
3,nytimes,webmd,adsrvr
3,nytimes,webmd,media.net
3,nytimes,webmd,yahoo
3,nytimes,webmd,mfadsrvr
3,nytimes,medscape,deepintent
3,nytimes,webmd,twitter
3,nytimes,webmd,mathtag
3,nytimes,webmd,scorecardresearch
3,nytimes,webmd,doubleclick
3,nytimes,webmd,quantserve
3,nytimes,webmd,adform
3,nytimes,webmd,sharethrough
3,nytimes,webmd,bluekai
3,nytimes,webmd,adnxs
3,nytimes,webmd,srv
3,nytimes,webmd,bidswitch
3,theguardian,webmd,pubmatic
3,theguardian,webmd,adsrvr
3,theguardian,webmd,mathtag
3,theguardian,webmd,scorecardresearch
3,theguardian,webmd,turn.com
3,theguardian,webmd,amazon-adsystem
3,theguardian,webmd,yahoo
3,theguardian,webmd,exelator
3,theguardian,webmd,facebook
3,theguardian,webmd,zemanta
3,theguardian,webmd,bluekai
3,theguardian,webmd,adnxs
3,theguardian,webmd,contextweb
3,theguardian,webmd,media.net
3,theguardian,medscape,deepintent
3,theguardian,webmd,demdex
3,theguardian,webmd,sitescout
3,theguardian,webmd,sharethrough
3,theguardian,webmd,1rx
3,theguardian,webmd,advertising
3,theguardian,webmd,mfadsrvr
3,theguardian,webmd,adform
3,theguardian,webmd,doubleclick
3,theguardian,webmd,srv
3,theguardian,webmd,bidswitch
3,forbes,webmd,adsrvr
3,forbes,webmd,taboola
3,forbes,webmd,mathtag
3,forbes,webmd,scorecardresearch
3,forbes,webmd,turn.com
3,forbes,webmd,agkn
3,forbes,webmd,amazon-adsystem
3,forbes,webmd,yahoo
3,forbes,webmd,exelator
3,forbes,webmd,twitter
3,forbes,webmd,facebook
3,forbes,webmd,ib-ibi
3,forbes,webmd,zemanta
3,forbes,webmd,bluekai
3,forbes,webmd,dnacdn
3,forbes,webmd,adnxs
3,forbes,webmd,mookie1
3,forbes,webmd,contextweb
3,forbes,webmd,media.net
3,forbes,webmd,demdex
3,forbes,webmd,sitescout
3,forbes,webmd,sharethrough
3,forbes,webmd,rlcdn
3,forbes,webmd,1rx
3,forbes,webmd,advertising
3,forbes,webmd,mfadsrvr
3,forbes,webmd,adform
3,forbes,webmd,doubleclick
3,forbes,webmd,srv
3,forbes,webmd,bidswitch
3,cnn,webmd,pubmatic
3,cnn,webmd,adsrvr
3,cnn,webmd,taboola
3,cnn,webmd,mathtag
3,cnn,webmd,scorecardresearch
3,cnn,webmd,turn.com
3,cnn,webmd,agkn
3,cnn,webmd,amazon-adsystem
3,cnn,webmd,yahoo
3,cnn,webmd,exelator
3,cnn,webmd,twitter
3,cnn,webmd,facebook
3,cnn,webmd,zemanta
3,cnn,webmd,bluekai
3,cnn,webmd,adnxs
3,cnn,webmd,contextweb
3,cnn,webmd,demdex
3,cnn,webmd,sitescout
3,cnn,webmd,quantserve
3,cnn,webmd,sharethrough
3,cnn,webmd,1rx
3,cnn,webmd,mfadsrvr
3,cnn,webmd,adform
3,cnn,webmd,doubleclick
3,cnn,webmd,srv
3,cnn,webmd,bidswitch
3,washingtonpost,webmd,amazon-adsystem
3,washingtonpost,webmd,adsrvr
3,washingtonpost,webmd,advertising
3,washingtonpost,webmd,yahoo
3,washingtonpost,webmd,mfadsrvr
3,washingtonpost,webmd,rkdms
3,washingtonpost,webmd,scorecardresearch
3,washingtonpost,webmd,doubleclick
3,washingtonpost,webmd,sharethrough
3,washingtonpost,webmd,adnxs
3,washingtonpost,webmd,srv
3,washingtonpost,webmd,bidswitch
3,colledgeboard,forbes,atdmt
3,colledgeboard,webmd,yahoo
3,colledgeboard,forbes,bing
3,colledgeboard,cnn,everesttech
3,colledgeboard,webmd,demdex
3,colledgeboard,nytimes,everesttech
