namevalue,context_id,time_stamp,byhost,byv
"('131', '20200501')",1,8,"{'match.deepintent', '.deepintent'}","{8, 12, 13, 14, 15, 23}"
"('131', '20200501')",2,1,{'.deepintent'},{43}
"('A3', 'd=AQABBBoqrF4CEPdY3jmf7y0lqIos6X6BvLMFEgEBAQF7rV62XgAAAAAA_SMAAAcIGiqsXn6BvLM&S=AQAAAhIzhRxkiPRYG6D_rjODnUk')",1,37,"{'pr-bh.ybp', 'cookiex.ngd', 'cms.analytics', 'beap-bc.yahoo', '.yahoo', 'ups.analytics', 'ads.yahoo'}","{24, 20, 21, 23}"
"('A3', 'd=AQABBBoqrF4CEPdY3jmf7y0lqIos6X6BvLMFEgEBAQF7rV62XgAAAAAA_SMAAAcIGiqsXn6BvLM&S=AQAAAhIzhRxkiPRYG6D_rjODnUk')",2,22,"{'ads.yahoo', 'pr-bh.ybp', 'ups.analytics', '.yahoo'}","{26, 27}"
"('A3', 'd=AQABBPcsrF4CENuOO3pHfRbNXEYpdY8MhvEFEgEBAQF-rV62XgAAAAAA_SMAAAcI9yysXo8MhvE&S=AQAAAkj_WLuyapbWIKkqElaPtrI')",2,9,"{'cookiex.ngd', 'beap-bc.yahoo', '.yahoo'}","{40, 41}"
"('A3', 'd=AQABBPcsrF4CENuOO3pHfRbNXEYpdY8MhvEFEgEBAQF-rV62XgAAAAAA_SMAAAcI9yysXo8MhvE&S=AQAAAkj_WLuyapbWIKkqElaPtrI')",3,12,"{'sp.analytics', '.yahoo'}","{72, 73, 74, 75}"
"('APID', 'UP5375626e-8bb3-11ea-8a1b-02b46a2b338d')",1,18,"{'pr-bh.ybp', 'cms.analytics', 'pixel.advertising', '.yahoo', '.advertising', 'ups.analytics', 'ads.yahoo'}","{24, 21, 23}"
"('APID', 'UP5375626e-8bb3-11ea-8a1b-02b46a2b338d')",2,20,"{'pr-bh.ybp', 'pixel.advertising', 'adserver.adtech', '.advertising', 'adserver-us.adtech', 'ups.analytics', 'ads.yahoo'}","{26, 27, 37}"
"('APIDTS', '1588341417')",1,2,{'.yahoo'},{24}
"('APIDTS', '1588341417')",2,6,"{'pr-bh.ybp', 'ups.analytics'}","{26, 27}"
"('ASP.NET_SessionId', 'qmhzkv32vyqsseubsfq5xrkz')",1,1,{'global.ib-ibi'},{21}
