namevalue,context_id,time_stamp,byhost,byvname
"('131', '20200501')",1,1,{'match.deepintent.com'},{'theguardian'}
"('131', '20200501')",2,1,{'.deepintent.com'},{'medscape'}
"('A3', 'd=AQABBFCWrF4CEOk_HrROnnxMZ2lVKqQaT5AFEgEBAQHnrV62XgAAAAAA_SMAAAcIUJasXqQaT5A&S=AQAAAvjI0jyNMcmjKGD3DMvOzA8')",1,46,"{'pr.ybp.yahoo', 'pr-bh.ybp.yahoo', 'cms.analytics.yahoo', '.yahoo.com', 'ups.analytics.yahoo'}","{'theguardian', 'forbes'}"
"('A3', 'd=AQABBFCWrF4CEOk_HrROnnxMZ2lVKqQaT5AFEgEBAQHnrV62XgAAAAAA_SMAAAcIUJasXqQaT5A&S=AQAAAvjI0jyNMcmjKGD3DMvOzA8')",2,34,"{'ads.yahoo.com', 'pr-bh.ybp.yahoo', 'cookiex.ngd.yahoo', '.yahoo.com', 'ups.analytics.yahoo'}","{'webmd', 'verywellhealth'}"
"('A3', 'd=AQABBP6crF4CEJcqq89wRSEwJAdA1lJLliQFEgEBAQHurV62XgAAAAAA_SMAAAcI_pysXlJLliQ&S=AQAAAuz2jwhHw4nKSGxdPMAt_w4')",1,12,"{'cookiex.ngd.yahoo', '.yahoo.com', 'cms.analytics.yahoo', 'ups.analytics.yahoo'}",{'forbes'}
"('A3', 'd=AQABBP6crF4CEJcqq89wRSEwJAdA1lJLliQFEgEBAQHurV62XgAAAAAA_SMAAAcI_pysXlJLliQ&S=AQAAAuz2jwhHw4nKSGxdPMAt_w4')",3,12,"{'.yahoo.com', 'sp.analytics.yahoo'}",{'colledgeboard'}
"('AA003', 'AXx6phkQm5zlntnaHnXNhOSt6auIK1woAqXNBGjAGZTUZe5gu1b68apuqMK-DPu07ik')",1,5,{'ad.atdmt.com'},{'forbes'}
"('AA003', 'AXx6phkQm5zlntnaHnXNhOSt6auIK1woAqXNBGjAGZTUZe5gu1b68apuqMK-DPu07ik')",2,1,{'.atdmt.com'},{'webmd'}
"('ADGRX_UID', '6ae2f17c-8bf4-11ea-9039-5a65b40255bc')",1,12,"{'cm.adgrx.com', '.adgrx.com'}","{'theguardian', 'forbes'}"
"('ADGRX_UID', '6ae2f17c-8bf4-11ea-9039-5a65b40255bc')",2,1,{'.adgrx.com'},{'myfitnesspal'}
"('ANON_ID', 'annr6ioZdUQd82Hp9vcghtYVg6iAZdthasdflU1ZdR7Y2XjyLMpntZajJLVRnVV4kT2YZbsOMw7D4')",1,1,{'a.tribalfusion.com'},{'theguardian'}
"('ANON_ID', 'annr6ioZdUQd82Hp9vcghtYVg6iAZdthasdflU1ZdR7Y2XjyLMpntZajJLVRnVV4kT2YZbsOMw7D4')",2,2,{'.tribalfusion.com'},{'myfitnesspal'}
"('ANON_ID_old', 'annr6ioZdUQd82Hp9vcghtYVg6iAZdthasdflU1ZdR7Y2XjyLMpntZajJLVRnVV4kT2YZbsOMw7D4')",1,1,{'a.tribalfusion.com'},{'theguardian'}
"('ANON_ID_old', 'annr6ioZdUQd82Hp9vcghtYVg6iAZdthasdflU1ZdR7Y2XjyLMpntZajJLVRnVV4kT2YZbsOMw7D4')",2,2,{'.tribalfusion.com'},{'myfitnesspal'}
"('APID', 'UPc6f8abae-8bf7-11ea-b3b0-0eef058309dd')",1,9,"{'.yahoo.com', 'ups.analytics.yahoo', 'pixel.advertising.com', '.advertising.com'}",{'forbes'}
"('APID', 'UPc6f8abae-8bf7-11ea-b3b0-0eef058309dd')",3,4,{'sp.analytics.yahoo'},{'colledgeboard'}
"('APID', 'UPc9731ebc-8bf3-11ea-8299-028bb717ffad')",1,74,"{'adserver-us.adtech.advertising', 'pr.ybp.yahoo', 'pr-bh.ybp.yahoo', 'pixel.advertising.com', '.advertising.com', 'cms.analytics.yahoo', 'ups.analytics.yahoo'}","{'theguardian', 'forbes', 'washingtonpost'}"
"('APID', 'UPc9731ebc-8bf3-11ea-8299-028bb717ffad')",2,28,"{'adserver-us.adtech.advertising', 'ads.yahoo.com', 'pr-bh.ybp.yahoo', 'pixel.advertising.com', '.advertising.com', 'cookiex.ngd.yahoo', '.yahoo.com', 'ups.analytics.yahoo', 'adserver.adtech.advertising'}","{'myfitnesspal', 'webmd', 'verywellhealth'}"
"('APIDTS', '1588369005')",1,5,"{'pr-bh.ybp.yahoo', 'cms.analytics.yahoo', 'ups.analytics.yahoo'}","{'theguardian', 'forbes'}"
